Port_ID,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,Score,Rank
3939318616482048768,0.00030930480522096455,9775.38910984,0.3746031746031746,118,315,0.20376377942080956,-4.700196047491461e+40,9.400392094982923e+39,68.0
3939925275039085824,0.0022824883950451048,2378.8786707,0.3623481781376518,2148,5928,0.22032268298986177,-inf,inf,22.5
3941019213896463617,8.809656624511503e-06,4234.08779003,0.49107142857142855,55,112,0.08775042013353804,-28359428069264.426,5671885614700.02,92.0
3942630767220672256,0.00010772277096689911,6611.89848042,0.3829744415375327,1903,4969,0.06746880637261637,-inf,inf,22.5
3943533600390906881,0.00019948932553774066,2361.42457205,0.5480386583285958,964,1759,0.42489048586191835,-inf,inf,22.5
3944088772635000577,0.00021771696656074443,7581.4919834,0.4575292759360053,2774,6063,0.29674881316464,-inf,inf,22.5
3944239644144231424,-3.864958612824156e-06,-1187.89097568,0.26456876456876455,227,858,-0.023902722811357486,-7.238914864584503e+52,1.4477829729169008e+52,59.0
3944658614777849089,7.029503738833924e-05,2074.44997996,0.4444444444444444,20,45,0.4074019724295326,0.0,415.2603793343822,130.0
3946087913459823360,-0.0015858370394004756,-40.66724167,0.3171733771569433,1930,6085,-0.014250058316753534,-869657098606955.9,173931419721383.3,90.0
3949214983441029120,1.6510011912467492e-05,1317.57755896,0.369757174392936,1675,4530,0.05674902785127747,-inf,inf,22.5
3949329502284748801,2.7518289803095126e-05,425.96505788999997,0.1875,72,384,0.13484472389978303,-958437.0907244077,191772.875630908,99.0
3951723256343550465,2.8872647528782083e-05,5260.02286389,0.3524804177545692,1215,3447,0.05799568906977391,-inf,inf,22.5
3952087967771302912,1.4760146161734555e-05,1032.6052598600002,0.3372093023255814,58,172,0.17337989430659104,0.0,206.8231727633557,145.0
3953433416230728705,7.163999258197271e-06,4924.76177998,0.20872865275142316,110,527,0.16692520820985154,-1.3980320118142558e+42,2.7960640236285117e+41,67.0
3953764659057081857,5.824111808198927e-06,6048.86608919,0.30874785591766724,180,583,0.12391140194016703,-2.571838906814645e+61,5.14367781362929e+60,53.0
3956048468100538880,2.4344745105614923e-05,1373.56489,0.7142857142857143,20,28,0.5247548876768744,0.0,275.1607909893416,140.0
3956076827719377409,0.0002589864821665185,16790.01223802,0.5155771195097038,2019,3916,0.09929588438039136,-3.181404548593298e+44,6.362809097186596e+43,64.0
3957509601040585217,5.469563007741026e-06,3174.1803667200006,0.2695417789757412,300,1113,0.025141631424061655,-9.309287192573274e+23,1.861857438514655e+23,83.0
3960874214179953664,6.322932260491563e-06,19567.47128569,0.5156838143036386,1233,2391,0.16274870486947643,-inf,inf,22.5
3962024093501274881,3.0013804755380474e-06,9314.494060179999,0.26472898664571876,337,1273,0.07396595216401795,-inf,inf,22.5
3966142151544441601,2.086631329544634e-05,4883.80077594,0.5320910973084886,1028,1932,0.05228112220749319,-inf,inf,22.5
3975304792994095360,0.06556442000166374,2536.0810463,0.4265791632485644,1040,2438,0.2600408999885148,-inf,inf,22.5
3975392755164484097,6.1563552365780905e-06,2330.27031414,0.2799343903772553,512,1829,0.09445790833824563,-inf,inf,22.5
3976088733682659585,0.0002256905538188132,5901.15009982,0.43567874911158494,1226,2814,0.14005384815964295,-inf,inf,22.5
3977078013600312321,2.3093992696306637e-05,4622.3514376,0.32642487046632124,1638,5018,0.08865587527988898,-inf,inf,22.5
3977116548751698176,6.646322761517312e-07,603.9805007599999,0.28078817733990147,456,1624,0.02921645691324417,-inf,inf,22.5
3977234346014419201,36.53049650391913,2427.29283086,0.39759036144578314,33,83,0.3046316664768804,0.0,493.10510987836835,124.0
3978449781300392193,8.972426733119986e-06,5888.6560088,0.4387755102040816,344,784,0.12168034174649302,-1.0875965292920647e+85,2.1751930585841293e+84,47.0
